Agent,Fitness,Move
Generation: 1
1,4,defect
47,4,cooperate
Generation: 1
14,4,cooperate
16,4,defect
Generation: 1
13,4,defect
29,4,defect
Generation: 1
25,4,defect
36,4,defect
Generation: 1
28,4,defect
7,4,cooperate
Generation: 1
31,4,defect
17,4,defect
Generation: 1
20,4,defect
42,4,defect
Generation: 1
4,4,defect
22,4,defect
Generation: 1
43,4,defect
10,4,defect
Generation: 1
40,4,cooperate
5,4,defect
Generation: 1
49,4,defect
12,4,defect
Generation: 1
30,4,defect
0,4,defect
Generation: 1
21,4,defect
38,4,cooperate
Generation: 1
24,4,cooperate
46,4,cooperate
Generation: 1
6,4,cooperate
45,4,cooperate
Generation: 1
37,4,cooperate
8,4,cooperate
Generation: 1
15,4,cooperate
23,4,defect
Generation: 1
19,4,defect
26,4,defect
Generation: 1
18,4,cooperate
34,4,defect
Generation: 1
35,4,cooperate
11,4,cooperate
Generation: 1
44,4,cooperate
32,4,cooperate
Generation: 1
41,4,defect
9,4,defect
Generation: 1
3,4,defect
27,4,defect
Generation: 1
39,4,defect
33,4,cooperate
Generation: 1
48,4,cooperate
2,4,cooperate
Generation: 2
9,4,cooperate
42,4,cooperate
Generation: 2
21,9,cooperate
14,4,defect
Generation: 2
48,7,cooperate
19,6,defect
Generation: 2
7,4,defect
36,4,defect
Generation: 2
43,6,defect
41,6,defect
Generation: 2
3,6,defect
47,4,defect
Generation: 2
38,4,cooperate
31,6,cooperate
Generation: 2
13,6,cooperate
4,6,defect
Generation: 2
26,4,defect
37,7,defect
Generation: 2
35,7,cooperate
39,9,cooperate
Generation: 2
49,6,cooperate
33,4,cooperate
Generation: 2
12,4,cooperate
44,7,cooperate
Generation: 2
28,9,cooperate
15,4,cooperate
Generation: 2
10,4,cooperate
25,6,defect
Generation: 2
45,4,defect
23,4,defect
Generation: 2
18,4,defect
1,9,defect
Generation: 2
27,4,defect
32,4,defect
Generation: 2
24,7,cooperate
0,4,defect
Generation: 2
8,4,defect
5,4,cooperate
Generation: 2
46,4,defect
17,4,defect
Generation: 2
6,7,defect
2,4,defect
Generation: 2
20,6,defect
29,4,defect
Generation: 2
11,4,defect
34,4,defect
Generation: 2
30,6,defect
40,4,cooperate
Generation: 2
16,4,defect
22,4,defect
Generation: 3
25,6,defect
17,4,cooperate
Generation: 3
29,4,defect
28,12,defect
Generation: 3
8,9,defect
1,9,defect
Generation: 3
2,4,defect
24,7,defect
Generation: 3
12,7,defect
49,9,defect
Generation: 3
44,7,defect
18,6,defect
Generation: 3
0,4,defect
40,4,defect
Generation: 3
41,6,cooperate
9,7,defect
Generation: 3
42,4,cooperate
26,6,cooperate
Generation: 3
46,6,cooperate
21,9,cooperate
Generation: 3
39,9,cooperate
15,4,cooperate
Generation: 3
33,4,defect
10,4,defect
Generation: 3
22,4,defect
38,7,cooperate
Generation: 3
37,7,defect
23,4,cooperate
Generation: 3
48,7,defect
4,6,defect
Generation: 3
5,4,defect
31,6,defect
Generation: 3
13,6,defect
45,6,defect
Generation: 3
34,4,cooperate
47,4,cooperate
Generation: 3
27,6,cooperate
20,8,cooperate
Generation: 3
14,4,defect
43,8,defect
Generation: 3
6,9,defect
32,4,defect
Generation: 3
3,8,defect
7,6,cooperate
Generation: 3
11,6,cooperate
16,6,cooperate
Generation: 3
35,10,defect
36,4,defect
Generation: 3
30,11,cooperate
19,6,defect
Generation: 4
45,6,defect
12,9,defect
Generation: 4
47,4,cooperate
8,11,defect
Generation: 4
17,4,cooperate
26,6,defect
Generation: 4
6,11,defect
30,11,cooperate
Generation: 4
44,9,defect
2,6,defect
Generation: 4
18,6,defect
5,6,defect
Generation: 4
27,9,defect
29,6,defect
Generation: 4
11,9,defect
21,9,defect
Generation: 4
49,9,defect
4,6,defect
Generation: 4
7,6,cooperate
39,12,cooperate
Generation: 4
37,12,cooperate
40,4,defect
Generation: 4
31,6,defect
3,13,defect
Generation: 4
9,7,defect
38,7,cooperate
Generation: 4
25,11,defect
32,4,defect
Generation: 4
10,4,defect
23,4,defect
Generation: 4
36,4,defect
19,6,defect
Generation: 4
34,7,cooperate
13,8,cooperate
Generation: 4
24,7,defect
41,6,cooperate
Generation: 4
1,9,cooperate
46,9,cooperate
Generation: 4
20,8,cooperate
43,8,defect
Generation: 4
14,6,defect
48,9,defect
Generation: 4
35,12,defect
16,6,defect
Generation: 4
33,6,defect
28,12,defect
Generation: 4
15,4,defect
22,9,defect
Generation: 4
0,6,defect
42,7,defect
Generation: 5
44,11,defect
32,4,defect
Generation: 5
37,12,cooperate
12,9,cooperate
Generation: 5
26,6,defect
29,6,defect
Generation: 5
34,10,defect
0,8,defect
Generation: 5
15,6,defect
10,6,defect
Generation: 5
30,11,defect
43,8,cooperate
Generation: 5
3,13,defect
16,6,defect
Generation: 5
18,8,cooperate
48,9,defect
Generation: 5
20,8,defect
41,6,cooperate
Generation: 5
28,12,cooperate
8,11,defect
Generation: 5
5,6,defect
46,9,cooperate
Generation: 5
17,4,cooperate
9,12,cooperate
Generation: 5
13,8,cooperate
47,4,cooperate
Generation: 5
49,11,cooperate
6,16,defect
Generation: 5
25,13,defect
31,8,defect
Generation: 5
7,9,cooperate
22,9,cooperate
Generation: 5
11,11,cooperate
24,12,defect
Generation: 5
19,6,defect
2,6,defect
Generation: 5
38,7,cooperate
35,14,defect
Generation: 5
40,4,defect
14,8,defect
Generation: 5
36,6,defect
21,9,defect
Generation: 5
33,8,defect
27,11,defect
Generation: 5
45,8,defect
4,6,cooperate
Generation: 5
42,7,cooperate
39,12,cooperate
Generation: 5
1,12,cooperate
23,4,defect
Generation: 6
20,13,defect
37,15,cooperate
Generation: 6
31,8,defect
33,10,defect
Generation: 6
45,13,defect
4,6,cooperate
Generation: 6
