Agent,Fitness,Move
Round:  and 1
1,10.0,0
1,10.0,0
Round:  and 2
1,10.0,0
2,9.0,1
Round:  and 3
1,10.0,0
3,9.0,1
Round:  and 4
1,10.0,0
4,9.0,1
Round:  and 5
1,13.0,0
5,7.0,0
Round:  and 6
1,13.0,0
6,9.0,1
Round:  and 7
1,16.0,0
7,7.0,0
Round:  and 8
1,16.0,0
8,9.0,1
Round:  and 9
1,16.0,0
9,9.0,1
Round:  and 10
1,19.0,0
10,7.0,0
Round:  and 11
1,22.0,0
11,7.0,0
Round:  and 12
1,22.0,0
12,9.0,1
Round:  and 13
1,22.0,0
13,9.0,1
Round:  and 14
1,25.0,0
14,7.0,0
Round:  and 15
1,25.0,0
15,9.0,1
Round:  and 16
1,25.0,0
16,9.0,1
Round:  and 17
1,25.0,0
17,9.0,1
Round:  and 18
1,28.0,0
18,7.0,0
Round:  and 19
1,28.0,0
19,9.0,1
Round:  and 20
1,31.0,0
20,7.0,0
Round:  and 21
1,31.0,0
21,9.0,1
Round:  and 22
1,34.0,0
22,7.0,0
Round:  and 23
1,34.0,0
23,9.0,1
Round:  and 24
1,37.0,0
24,7.0,0
Round:  and 25
1,37.0,0
25,9.0,1
Round:  and 26
1,40.0,0
26,7.0,0
Round:  and 27
1,43.0,0
27,7.0,0
Round:  and 28
1,43.0,0
28,9.0,1
Round:  and 29
1,46.0,0
29,7.0,0
Round:  and 30
1,46.0,0
30,9.0,1
Round:  and 31
1,49.0,0
31,7.0,0
Round:  and 32
1,49.0,0
32,9.0,1
Round:  and 33
1,49.0,0
33,9.0,1
Round:  and 34
1,49.0,0
34,9.0,1
Round:  and 35
1,52.0,0
35,7.0,0
Round:  and 36
1,52.0,0
36,9.0,1
Round:  and 37
1,55.0,0
37,7.0,0
Round:  and 38
1,58.0,0
38,7.0,0
Round:  and 39
1,58.0,0
39,9.0,1
Round:  and 40
1,58.0,0
40,9.0,1
Round:  and 41
1,61.0,0
41,7.0,0
Round:  and 42
1,64.0,0
42,7.0,0
Round:  and 43
1,64.0,0
43,9.0,1
Round:  and 44
1,67.0,0
44,7.0,0
Round:  and 45
1,70.0,0
45,7.0,0
Round:  and 46
1,70.0,0
46,9.0,1
Round:  and 47
1,73.0,0
47,7.0,0
Round:  and 48
1,73.0,0
48,9.0,1
Round:  and 49
1,73.0,0
49,9.0,1
Round:  and 50
1,76.0,0
50,7.0,0
Round:  and 51
2,9.0,1
1,76.0,0
Round:  and 52
2,14.0,0
2,14.0,1
Round:  and 53
2,14.0,0
3,14.0,1
Round:  and 54
2,14.0,0
4,14.0,1
Round:  and 55
2,17.0,0
5,10.0,0
Round:  and 56
2,17.0,0
6,14.0,1
Round:  and 57
2,20.0,0
7,10.0,0
Round:  and 58
2,20.0,0
8,14.0,1
Round:  and 59
2,20.0,0
9,14.0,1
Round:  and 60
2,23.0,0
10,10.0,0
Round:  and 61
2,26.0,0
11,10.0,0
Round:  and 62
2,26.0,0
12,14.0,1
Round:  and 63
2,26.0,0
13,14.0,1
Round:  and 64
2,29.0,0
14,10.0,0
Round:  and 65
2,29.0,0
15,14.0,1
Round:  and 66
2,29.0,0
16,14.0,1
Round:  and 67
2,29.0,0
17,14.0,1
Round:  and 68
2,32.0,0
18,10.0,0
Round:  and 69
2,32.0,0
19,14.0,1
Round:  and 70
2,35.0,0
20,10.0,0
Round:  and 71
2,35.0,0
21,14.0,1
Round:  and 72
2,38.0,0
22,10.0,0
Round:  and 73
2,38.0,0
23,14.0,1
Round:  and 74
2,41.0,0
24,10.0,0
Round:  and 75
2,41.0,0
25,14.0,1
Round:  and 76
2,44.0,0
26,10.0,0
Round:  and 77
2,47.0,0
27,10.0,0
Round:  and 78
2,47.0,0
28,14.0,1
Round:  and 79
2,50.0,0
29,10.0,0
Round:  and 80
2,50.0,0
30,14.0,1
Round:  and 81
2,53.0,0
31,10.0,0
Round:  and 82
2,53.0,0
32,14.0,1
Round:  and 83
2,53.0,0
33,14.0,1
Round:  and 84
2,53.0,0
34,14.0,1
Round:  and 85
2,56.0,0
35,10.0,0
Round:  and 86
2,56.0,0
36,14.0,1
Round:  and 87
2,59.0,0
37,10.0,0
Round:  and 88
2,62.0,0
38,10.0,0
Round:  and 89
2,62.0,0
39,14.0,1
Round:  and 90
2,62.0,0
40,14.0,1
Round:  and 91
2,65.0,0
41,10.0,0
Round:  and 92
2,68.0,0
42,10.0,0
Round:  and 93
2,68.0,0
43,14.0,1
Round:  and 94
2,71.0,0
44,10.0,0
Round:  and 95
2,74.0,0
45,10.0,0
Round:  and 96
2,74.0,0
46,14.0,1
Round:  and 97
2,77.0,0
47,10.0,0
Round:  and 98
2,77.0,0
48,14.0,1
Round:  and 99
2,77.0,0
49,14.0,1
Round:  and 100
2,80.0,0
50,10.0,0
Round:  and 101
3,9.0,1
1,76.0,0
Round:  and 102
3,11.0,1
2,82.0,1
Round:  and 103
3,16.0,0
3,16.0,1
Round:  and 104
3,21.0,1
4,14.0,0
Round:  and 105
3,26.0,1
5,10.0,0
Round:  and 106
3,28.0,1
6,16.0,1
Round:  and 107
3,30.0,1
7,12.0,1
Round:  and 108
3,32.0,1
8,16.0,1
Round:  and 109
3,34.0,1
9,16.0,1
Round:  and 110
3,39.0,1
10,10.0,0
Round:  and 111
3,44.0,1
11,10.0,0
Round:  and 112
3,49.0,1
12,14.0,0
Round:  and 113
3,51.0,1
13,16.0,1
Round:  and 114
3,53.0,1
14,12.0,1
Round:  and 115
3,58.0,1
15,14.0,0
Round:  and 116
3,60.0,1
16,16.0,1
Round:  and 117
3,65.0,1
17,14.0,0
Round:  and 118
3,70.0,1
18,10.0,0
Round:  and 119
3,72.0,1
19,16.0,1
Round:  and 120
3,77.0,1
20,10.0,0
Round:  and 121
3,79.0,1
21,16.0,1
Round:  and 122
3,84.0,1
22,10.0,0
Round:  and 123
3,86.0,1
23,16.0,1
Round:  and 124
3,88.0,1
24,12.0,1
Round:  and 125
3,93.0,1
25,14.0,0
Round:  and 126
3,98.0,1
26,10.0,0
Round:  and 127
3,100.0,1
27,12.0,1
Round:  and 128
3,105.0,1
28,14.0,0
Round:  and 129
3,107.0,1
29,12.0,1
Round:  and 130
3,112.0,1
30,14.0,0
Round:  and 131
3,117.0,1
31,10.0,0
Round:  and 132
3,119.0,1
32,16.0,1
Round:  and 133
3,124.0,1
33,14.0,0
Round:  and 134
3,126.0,1
34,16.0,1
Round:  and 135
3,128.0,1
35,12.0,1
Round:  and 136
3,130.0,1
36,16.0,1
Round:  and 137
3,135.0,1
37,10.0,0
Round:  and 138
3,140.0,1
38,10.0,0
Round:  and 139
3,142.0,1
39,16.0,1
Round:  and 140
3,144.0,1
40,16.0,1
Round:  and 141
3,149.0,1
41,10.0,0
Round:  and 142
3,154.0,1
42,10.0,0
Round:  and 143
3,159.0,1
43,14.0,0
Round:  and 144
3,164.0,1
44,10.0,0
Round:  and 145
3,169.0,1
45,10.0,0
Round:  and 146
3,174.0,1
46,14.0,0
Round:  and 147
3,179.0,1
47,10.0,0
Round:  and 148
3,184.0,1
48,14.0,0
Round:  and 149
3,186.0,1
49,16.0,1
Round:  and 150
3,188.0,1
50,12.0,1
Round:  and 151
4,9.0,1
1,76.0,0
Round:  and 152
4,11.0,1
2,84.0,1
Round:  and 153
4,16.0,1
3,188.0,0
Round:  and 154
4,20.0,1
4,20.0,1
Round:  and 155
4,25.0,1
5,10.0,0
Round:  and 156
4,27.0,1
6,18.0,1
Round:  and 157
4,29.0,1
7,14.0,1
Round:  and 158
4,31.0,1
8,18.0,1
Round:  and 159
4,33.0,1
9,18.0,1
Round:  and 160
4,38.0,1
10,10.0,0
Round:  and 161
4,43.0,1
11,10.0,0
Round:  and 162
4,48.0,1
12,14.0,0
Round:  and 163
4,50.0,1
13,18.0,1
Round:  and 164
4,52.0,1
14,14.0,1
Round:  and 165
4,57.0,1
15,14.0,0
Round:  and 166
4,59.0,1
16,18.0,1
Round:  and 167
4,64.0,1
17,14.0,0
Round:  and 168
4,69.0,1
18,10.0,0
Round:  and 169
4,71.0,1
19,18.0,1
Round:  and 170
4,76.0,1
20,10.0,0
Round:  and 171
4,78.0,1
21,18.0,1
Round:  and 172
4,83.0,1
22,10.0,0
Round:  and 173
4,85.0,1
23,18.0,1
Round:  and 174
4,87.0,1
24,14.0,1
Round:  and 175
4,92.0,1
25,14.0,0
Round:  and 176
4,97.0,1
26,10.0,0
Round:  and 177
4,99.0,1
27,14.0,1
Round:  and 178
4,104.0,1
28,14.0,0
Round:  and 179
4,106.0,1
29,14.0,1
Round:  and 180
4,111.0,1
30,14.0,0
Round:  and 181
4,116.0,1
31,10.0,0
Round:  and 182
4,118.0,1
32,18.0,1
Round:  and 183
4,123.0,1
33,14.0,0
Round:  and 184
4,125.0,1
34,18.0,1
Round:  and 185
4,127.0,1
35,14.0,1
Round:  and 186
4,129.0,1
36,18.0,1
Round:  and 187
4,134.0,1
37,10.0,0
Round:  and 188
4,139.0,1
38,10.0,0
Round:  and 189
4,141.0,1
39,18.0,1
Round:  and 190
4,143.0,1
40,18.0,1
Round:  and 191
4,148.0,1
41,10.0,0
Round:  and 192
4,153.0,1
42,10.0,0
Round:  and 193
4,158.0,1
43,14.0,0
Round:  and 194
4,163.0,1
44,10.0,0
Round:  and 195
4,168.0,1
45,10.0,0
Round:  and 196
4,173.0,1
46,14.0,0
Round:  and 197
4,178.0,1
47,10.0,0
Round:  and 198
4,183.0,1
48,14.0,0
Round:  and 199
4,185.0,1
49,18.0,1
Round:  and 200
4,187.0,1
50,14.0,1
Round:  and 201
5,7.0,0
1,79.0,0
Round:  and 202
5,7.0,0
2,89.0,1
Round:  and 203
5,7.0,0
3,193.0,1
Round:  and 204
5,7.0,0
4,192.0,1
Round:  and 205
5,13.0,0
5,13.0,0
Round:  and 206
5,13.0,0
6,23.0,1
Round:  and 207
5,16.0,0
7,17.0,0
Round:  and 208
5,16.0,0
8,23.0,1
Round:  and 209
5,16.0,0
9,23.0,1
Round:  and 210
5,19.0,0
10,13.0,0
Round:  and 211
5,22.0,0
11,13.0,0
Round:  and 212
5,22.0,0
12,19.0,1
Round:  and 213
5,22.0,0
13,23.0,1
Round:  and 214
5,25.0,0
14,17.0,0
Round:  and 215
5,25.0,0
15,19.0,1
Round:  and 216
5,25.0,0
16,23.0,1
Round:  and 217
5,25.0,0
17,19.0,1
Round:  and 218
5,28.0,0
18,13.0,0
Round:  and 219
5,28.0,0
19,23.0,1
Round:  and 220
5,31.0,0
20,13.0,0
Round:  and 221
5,31.0,0
21,23.0,1
Round:  and 222
5,34.0,0
